Unnamed: 0,index,pp01,year,month,ten_days,stno
8,,0.0,2002.0,2.0,2,C0G650
10,,0.0,2002.0,2.0,3,C0G650
12,,0.0,2002.0,3.0,1,C0G650
14,,3.0,2002.0,3.0,2,C0G650
16,,9.5,2002.0,3.0,3,C0G650
18,,0.0,2002.0,4.0,1,C0G650
20,,1.0,2002.0,4.0,2,C0G650
22,,0.0,2002.0,4.0,3,C0G650
24,,0.0,2002.0,5.0,1,C0G650
26,,48.5,2002.0,5.0,2,C0G650
28,,144.0,2002.0,5.0,3,C0G650
30,,76.5,2002.0,6.0,1,C0G650
32,,17.5,2002.0,6.0,2,C0G650
34,,0.0,2002.0,6.0,3,C0G650
36,,151.0,2002.0,7.0,1,C0G650
38,,87.5,2002.0,7.0,2,C0G650
40,,123.5,2002.0,7.0,3,C0G650
42,,110.0,2002.0,8.0,1,C0G650
44,,5.5,2002.0,8.0,2,C0G650
46,,22.5,2002.0,8.0,3,C0G650
48,,39.5,2002.0,9.0,1,C0G650
50,,31.5,2002.0,9.0,2,C0G650
52,,15.5,2002.0,9.0,3,C0G650
54,,0.0,2002.0,10.0,1,C0G650
56,,0.0,2002.0,10.0,2,C0G650
58,,0.0,2002.0,10.0,3,C0G650
60,,0.0,2002.0,11.0,1,C0G650
62,,0.5,2002.0,11.0,2,C0G650
64,,10.5,2002.0,11.0,3,C0G650
66,,0.0,2002.0,12.0,1,C0G650
68,,25.0,2002.0,12.0,2,C0G650
70,,26.0,2002.0,12.0,3,C0G650
0,,13.0,2003.0,1.0,1,C0G650
2,,0.0,2003.0,1.0,2,C0G650
4,,7.5,2003.0,1.0,3,C0G650
6,,19.0,2003.0,2.0,1,C0G650
8,,0.0,2003.0,2.0,2,C0G650
10,,0.0,2003.0,2.0,3,C0G650
12,,16.0,2003.0,3.0,1,C0G650
14,,3.0,2003.0,3.0,2,C0G650
16,,5.5,2003.0,3.0,3,C0G650
18,,115.0,2003.0,4.0,1,C0G650
20,,12.0,2003.0,4.0,2,C0G650
22,,0.0,2003.0,4.0,3,C0G650
24,,19.0,2003.0,5.0,1,C0G650
26,,63.0,2003.0,5.0,2,C0G650
28,,0.0,2003.0,5.0,3,C0G650
30,,167.5,2003.0,6.0,1,C0G650
32,,129.0,2003.0,6.0,2,C0G650
34,,6.0,2003.0,6.0,3,C0G650
36,,14.0,2003.0,7.0,1,C0G650
38,,0.0,2003.0,7.0,2,C0G650
40,,46.0,2003.0,7.0,3,C0G650
42,,16.0,2003.0,8.0,1,C0G650
44,,89.5,2003.0,8.0,2,C0G650
46,,15.0,2003.0,8.0,3,C0G650
48,,2.5,2003.0,9.0,1,C0G650
50,,29.5,2003.0,9.0,2,C0G650
52,,20.0,2003.0,9.0,3,C0G650
54,,0.0,2003.0,10.0,1,C0G650
56,,0.0,2003.0,10.0,2,C0G650
58,,0.0,2003.0,10.0,3,C0G650
60,,0.0,2003.0,11.0,1,C0G650
62,,0.0,2003.0,11.0,2,C0G650
64,,0.5,2003.0,11.0,3,C0G650
66,,0.0,2003.0,12.0,1,C0G650
68,,0.0,2003.0,12.0,2,C0G650
70,,0.0,2003.0,12.0,3,C0G650
0,,0.0,2004.0,1.0,1,C0G650
2,,6.5,2004.0,1.0,2,C0G650
4,,1.0,2004.0,1.0,3,C0G650
6,,59.5,2004.0,2.0,1,C0G650
8,,0.0,2004.0,2.0,2,C0G650
10,,0.0,2004.0,2.0,3,C0G650
12,,13.0,2004.0,3.0,1,C0G650
14,,0.0,2004.0,3.0,2,C0G650
16,,41.0,2004.0,3.0,3,C0G650
18,,35.0,2004.0,4.0,1,C0G650
20,,26.0,2004.0,4.0,2,C0G650
22,,42.5,2004.0,4.0,3,C0G650
24,,1.5,2004.0,5.0,1,C0G650
26,,33.0,2004.0,5.0,2,C0G650
28,,63.5,2004.0,5.0,3,C0G650
30,,1.0,2004.0,6.0,1,C0G650
32,,7.0,2004.0,6.0,2,C0G650
34,,8.0,2004.0,6.0,3,C0G650
36,,440.5,2004.0,7.0,1,C0G650
38,,219.5,2004.0,7.0,2,C0G650
40,,106.0,2004.0,7.0,3,C0G650
42,,5.5,2004.0,8.0,1,C0G650
44,,80.5,2004.0,8.0,2,C0G650
46,,269.0,2004.0,8.0,3,C0G650
48,,34.5,2004.0,9.0,1,C0G650
50,,60.0,2004.0,9.0,2,C0G650
52,,0.0,2004.0,9.0,3,C0G650
54,,0.0,2004.0,10.0,1,C0G650
56,,0.0,2004.0,10.0,2,C0G650
58,,6.0,2004.0,10.0,3,C0G650
60,,0.0,2004.0,11.0,1,C0G650
62,,1.5,2004.0,11.0,2,C0G650
64,,0.0,2004.0,11.0,3,C0G650
66,,53.0,2004.0,12.0,1,C0G650
68,,0.0,2004.0,12.0,2,C0G650
70,,1.0,2004.0,12.0,3,C0G650
0,,1.0,2005.0,1.0,1,C0G650
2,,12.5,2005.0,1.0,2,C0G650
4,,3.0,2005.0,1.0,3,C0G650
6,,0.0,2005.0,2.0,1,C0G650
8,,96.5,2005.0,2.0,2,C0G650
10,,47.0,2005.0,2.0,3,C0G650
12,,50.5,2005.0,3.0,1,C0G650
14,,20.5,2005.0,3.0,2,C0G650
16,,76.5,2005.0,3.0,3,C0G650
18,,4.0,2005.0,4.0,1,C0G650
20,,8.5,2005.0,4.0,2,C0G650
22,,51.0,2005.0,4.0,3,C0G650
24,,100.5,2005.0,5.0,1,C0G650
26,,267.0,2005.0,5.0,2,C0G650
28,,15.5,2005.0,5.0,3,C0G650
30,,34.5,2005.0,6.0,1,C0G650
32,,454.5,2005.0,6.0,2,C0G650
34,,45.0,2005.0,6.0,3,C0G650
36,,0.5,2005.0,7.0,1,C0G650
38,,232.5,2005.0,7.0,2,C0G650
40,,44.0,2005.0,7.0,3,C0G650
42,,78.5,2005.0,8.0,1,C0G650
44,,80.5,2005.0,8.0,2,C0G650
46,,71.0,2005.0,8.0,3,C0G650
48,,97.0,2005.0,9.0,1,C0G650
50,,0.0,2005.0,9.0,2,C0G650
52,,6.0,2005.0,9.0,3,C0G650
54,,22.5,2005.0,10.0,1,C0G650
56,,0.0,2005.0,10.0,2,C0G650
58,,0.0,2005.0,10.0,3,C0G650
60,,0.0,2005.0,11.0,1,C0G650
62,,0.0,2005.0,11.0,2,C0G650
64,,2.5,2005.0,11.0,3,C0G650
