,index,pp01,year,month,ten_days,stno
45,,49.0,2004.0,8.0,2,C1X090
47,,170.5,2004.0,8.0,3,C1X090
49,,110.0,2004.0,9.0,1,C1X090
51,,161.5,2004.0,9.0,2,C1X090
53,,0.0,2004.0,9.0,3,C1X090
55,,0.0,2004.0,10.0,1,C1X090
57,,0.0,2004.0,10.0,2,C1X090
59,,0.0,2004.0,10.0,3,C1X090
61,,1.5,2004.0,11.0,1,C1X090
63,,0.0,2004.0,11.0,2,C1X090
65,,1.0,2004.0,11.0,3,C1X090
67,,104.0,2004.0,12.0,1,C1X090
69,,0.0,2004.0,12.0,2,C1X090
71,,0.0,2004.0,12.0,3,C1X090
1,,0.0,2005.0,1.0,1,C1X090
3,,7.5,2005.0,1.0,2,C1X090
5,,0.0,2005.0,1.0,3,C1X090
7,,0.0,2005.0,2.0,1,C1X090
9,,12.0,2005.0,2.0,2,C1X090
11,,59.0,2005.0,2.0,3,C1X090
13,,7.0,2005.0,3.0,1,C1X090
15,,16.5,2005.0,3.0,2,C1X090
17,,91.0,2005.0,3.0,3,C1X090
19,,0.5,2005.0,4.0,1,C1X090
21,,12.0,2005.0,4.0,2,C1X090
23,,12.5,2005.0,4.0,3,C1X090
25,,97.5,2005.0,5.0,1,C1X090
27,,18.5,2005.0,5.0,2,C1X090
29,,57.5,2005.0,5.0,3,C1X090
31,,131.5,2005.0,6.0,1,C1X090
33,,836.5,2005.0,6.0,2,C1X090
35,,108.5,2005.0,6.0,3,C1X090
37,,0.0,2005.0,7.0,1,C1X090
39,,655.0,2005.0,7.0,2,C1X090
41,,180.0,2005.0,7.0,3,C1X090
43,,11.5,2005.0,8.0,1,C1X090
45,,242.5,2005.0,8.0,2,C1X090
47,,27.5,2005.0,8.0,3,C1X090
49,,352.0,2005.0,9.0,1,C1X090
51,,0.0,2005.0,9.0,2,C1X090
53,,3.0,2005.0,9.0,3,C1X090
55,,55.0,2005.0,10.0,1,C1X090
57,,0.0,2005.0,10.0,2,C1X090
59,,6.5,2005.0,10.0,3,C1X090
61,,0.0,2005.0,11.0,1,C1X090
63,,0.0,2005.0,11.0,2,C1X090
65,,4.5,2005.0,11.0,3,C1X090
67,,0.0,2005.0,12.0,1,C1X090
69,,0.0,2005.0,12.0,2,C1X090
71,,7.5,2005.0,12.0,3,C1X090
1,,0.0,2006.0,1.0,1,C1X090
3,,2.0,2006.0,1.0,2,C1X090
5,,5.5,2006.0,1.0,3,C1X090
7,,0.0,2006.0,2.0,1,C1X090
9,,0.0,2006.0,2.0,2,C1X090
11,,0.0,2006.0,2.0,3,C1X090
13,,1.5,2006.0,3.0,1,C1X090
15,,1.0,2006.0,3.0,2,C1X090
17,,14.0,2006.0,3.0,3,C1X090
19,,5.0,2006.0,4.0,1,C1X090
21,,151.0,2006.0,4.0,2,C1X090
23,,20.0,2006.0,4.0,3,C1X090
25,,0.5,2006.0,5.0,1,C1X090
27,,61.5,2006.0,5.0,2,C1X090
29,,172.0,2006.0,5.0,3,C1X090
31,,375.0,2006.0,6.0,1,C1X090
33,,40.5,2006.0,6.0,2,C1X090
35,,3.5,2006.0,6.0,3,C1X090
37,,30.5,2006.0,7.0,1,C1X090
39,,288.0,2006.0,7.0,2,C1X090
41,,225.0,2006.0,7.0,3,C1X090
43,,55.0,2006.0,8.0,1,C1X090
45,,23.5,2006.0,8.0,2,C1X090
47,,10.0,2006.0,8.0,3,C1X090
49,,80.0,2006.0,9.0,1,C1X090
51,,2.0,2006.0,9.0,2,C1X090
53,,0.0,2006.0,9.0,3,C1X090
